School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,0,1,0,1
Alford ES,2,0,0,2
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,51,2,1,54
Archer HS,0,0,0,0
Baggett ES,0,0,0,0
Baldwin ES,0,0,0,0
Bay Creek MS,0,0,1,1
Beaver Ridge ES,0,0,0,0
Benefield ES,0,0,0,0
Berkeley Lake ES,0,0,0,0
Berkmar HS,0,0,0,0
Berkmar MS,0,0,0,0
Bethesda ES,0,0,0,0
Britt ES,0,0,0,0
Brookwood ES,0,0,0,0
Brookwood HS,2,0,0,2
Buice Center,0,0,0,0
Burnette ES,2,0,0,2
Camp Creek ES,2,0,1,3
Cedar Hill ES,12,1,0,13
Centerville ES,0,0,0,0
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,2,0,0,2
Chesney ES,0,0,0,0
Coleman MS,0,0,0,0
Collins Hill HS,0,0,0,0
Cooper ES,0,0,0,0
Corley ES,0,1,0,1
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,0,0,0,0
Crews MS,1,0,0,1
Dacula ES,0,0,0,0
Dacula HS,0,2,0,2
Dacula MS,1,0,0,1
Discovery HS,0,0,0,0
Duluth HS,1,0,0,1
Duluth MS,0,0,1,1
Duncan Creek ES,3,0,0,3
Dyer ES,1,0,0,1
Ferguson ES,2,0,0,2
Five Forks MS,0,0,0,0
Fort Daniel ES,0,0,0,0
Freeman's Mill ES,0,0,0,0
GIVE East,0,0,0,0
GIVE West,0,0,1,1
Grace Snell MS,0,0,0,0
Graves ES,0,0,0,0
Grayson ES,0,0,0,0
Grayson HS,2,0,0,2
Gwin Oaks ES,0,0,0,0
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,0,1,0,1
Harmony ES,0,0,1,1
Harris ES,0,0,0,0
Head ES,5,1,0,6
Hopkins ES,6,0,1,7
Hull MS,0,0,0,0
International Transition Center,0,0,0,0
Ivy Creek ES,0,0,0,0
Jackson ES,6,2,0,8
Jenkins ES,0,0,0,0
Jones MS,0,0,0,0
Jordan MS,2,0,0,2
Kanoheda ES,0,0,0,0
Knight ES,5,0,0,5
Lanier HS,0,0,0,0
Lanier MS,10,2,2,14
Lawrenceville ES,0,0,0,0
Level Creek ES,0,0,0,0
Lilburn ES,0,0,0,0
Lilburn MS,0,0,1,1
Lovin ES,0,0,0,0
Magill ES,34,0,2,36
Mason ES,0,0,0,0
Maxwell,0,0,0,0
McClure Health Science HS,0,0,4,4
McConnell MS,0,0,0,0
McKendree ES,0,0,0,0
Meadowcreek ES,0,0,0,0
Meadowcreek HS,0,1,0,1
Mill Creek HS,9,1,0,10
Minor ES,0,0,0,0
Moore MS,1,0,0,1
Mountain Park ES,0,0,0,0
Mountain View HS,5,1,1,7
Mulberry ES,1,0,0,1
Nesbit ES,0,0,0,0
Norcross ES,0,0,0,0
Norcross HS,1,0,0,1
North Gwinnett HS,3,0,2,5
North Gwinnett MS,0,0,0,0
Northbrook MS,19,3,0,22
Norton ES,0,0,0,0
Oakland Meadow School,0,0,0,0
Osborne MS,12,3,1,16
Parkview HS,1,1,0,2
Parsons ES,0,0,0,0
Partee ES,0,1,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,0,0,0,0
Peachtree ES,2,0,0,2
Peachtree Ridge HS,0,0,0,0
Pharr ES,0,0,0,0
Phoenix HS,0,0,1,1
Pinckneyville MS,0,0,0,0
Puckett's Mill ES,5,1,2,8
Radloff MS,0,0,0,0
Richards MS,0,0,1,1
Riverside ES,0,0,0,0
Roberts ES,0,0,0,0
Rock Springs ES,0,0,0,0
Rockbridge ES,0,0,0,0
Rosebud ES,0,0,0,0
Shiloh ES,1,0,0,1
Shiloh HS,2,2,0,4
Shiloh MS,0,0,0,0
Simonton ES,11,1,0,12
Simpson ES,0,0,0,0
Snellville MS,0,0,0,0
South Gwinnett HS,0,0,0,0
Starling ES,1,1,1,3
Stripling ES,0,1,3,4
Sugar Hill ES,0,0,0,0
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,0,0,0,0
Sycamore ES,0,0,0,0
Taylor ES,33,3,0,36
Trickum MS,2,0,0,2
Trip ES,0,0,0,0
Twin Rivers MS,0,0,0,0
Walnut Grove ES,0,0,0,0
White Oak ES,1,0,0,1
Winn Holt ES,7,2,3,12
Woodward Mill ES,0,0,0,0
